nif,name,date,payed,amount,concept,freelance
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
82-7749767,Buzzdog,2017/01/18,false,5973.7,Red-capped cardinal,true
84-4974121,Camido,2017/03/02,false,8770.24,"Coot, red-knobbed",true
02-3211591,Camido,2017/08/18,true,6354.42,Gerbil (unidentified),true
37-5398817,Camido,2017/09/09,false,6596.05,"Weaver, lesser masked",true
84-4974121,Camido,2017/03/02,false,8770.24,"Coot, red-knobbed",true
02-3211591,Camido,2017/08/18,true,6354.42,Gerbil (unidentified),true
37-5398817,Camido,2017/09/09,false,6596.05,"Weaver, lesser masked",true
84-4974121,Camido,2017/03/02,false,8770.24,"Coot, red-knobbed",true
02-3211591,Camido,2017/08/18,true,6354.42,Gerbil (unidentified),true
37-5398817,Camido,2017/09/09,false,6596.05,"Weaver, lesser masked",true
50-5264445,Chatterbridge,2017/07/31,false,7382.2,"Hartebeest, coke's",true
50-5264445,Chatterbridge,2017/07/31,false,7382.2,"Hartebeest, coke's",true
50-5264445,Chatterbridge,2017/07/31,false,7382.2,"Hartebeest, coke's",true
89-7873700,Cogilith,2017/02/25,false,5493.26,Bare-faced go away bird,true
89-7873700,Cogilith,2017/02/25,false,5493.26,Bare-faced go away bird,true
89-7873700,Cogilith,2017/02/25,false,5493.26,Bare-faced go away bird,true
78-9869666,Dabvine,2017/10/02,true,12985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,12985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,12985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
78-9869666,Dabvine,2017/10/02,true,2985.53,"Wolf, timber",true
31-0089156,Demivee,2017/09/26,true,8566.15,Black-eyed bulbul,true
77-0819720,Demivee,2017/05/06,false,2020.52,Prehensile-tailed porcupine,true
31-0089156,Demivee,2017/09/26,true,8566.15,Black-eyed bulbul,true
77-0819720,Demivee,2017/05/06,false,2020.52,Prehensile-tailed porcupine,true
31-0089156,Demivee,2017/09/26,true,8566.15,Black-eyed bulbul,true
77-0819720,Demivee,2017/05/06,false,2020.52,Prehensile-tailed porcupine,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
26-9822408,Devify,2017/06/20,false,8152.62,Pale white-eye,true
42-2538506,Digitube,2017/07/30,false,3130.42,"Dove, galapagos",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
42-2538506,Digitube,2017/07/30,false,3130.42,"Dove, galapagos",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
42-2538506,Digitube,2017/07/30,false,3130.42,"Dove, galapagos",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
27-8035818,Digitube,2017/06/06,false,2182.88,"Monkey, red howler",true
75-7958395,Divanoodle,2017/10/05,true,11151.37,Golden brush-tailed possum,true
21-7979061,Divanoodle,2017/02/19,false,1653.97,Little heron,true
75-7958395,Divanoodle,2017/10/05,true,11151.37,Golden brush-tailed possum,true
21-7979061,Divanoodle,2017/02/19,false,1653.97,Little heron,true
75-7958395,Divanoodle,2017/10/05,true,11151.37,Golden brush-tailed possum,true
17-9839226,Divape,2017/02/22,false,4130.64,"Gull, kelp",true
17-9839226,Divape,2017/02/22,false,4130.64,"Gull, kelp",true
17-9839226,Divape,2017/02/22,false,4130.64,"Gull, kelp",true
06-1515275,Dynabox,2017/10/11,false,7379.79,Burmese black mountain tortoise,true
06-1515275,Dynabox,2017/10/11,false,7379.79,Burmese black mountain tortoise,true
06-1515275,Dynabox,2017/10/11,false,7379.79,Burmese black mountain tortoise,true
27-9921562,Eamia,2017/08/26,false,9662.6,Red meerkat,true
27-9921562,Eamia,2017/08/26,false,9662.6,Red meerkat,true
27-9921562,Eamia,2017/08/26,false,9662.6,Red meerkat,true
31-9546108,Edgeclub,2017/04/12,true,7468.41,African porcupine,true
66-6994287,Edgeclub,2017/09/28,true,8672.23,"Lemur, grey mouse",true
31-9546108,Edgeclub,2017/04/12,true,7468.41,African porcupine,true
66-6994287,Edgeclub,2017/09/28,true,8672.23,"Lemur, grey mouse",true
31-9546108,Edgeclub,2017/04/12,true,7468.41,African porcupine,true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
80-1048206,Edgetag,2017/04/08,false,4348.0,"Fox, asian red",true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
75-6598597,Einti,2017/01/03,true,511.97,Great cormorant,true
74-1283691,Fadeo,2017/06/17,false,8371.46,Yellow-necked spurfowl,true
74-1283691,Fadeo,2017/06/17,false,8371.46,Yellow-necked spurfowl,true
74-1283691,Fadeo,2017/06/17,false,8371.46,Yellow-necked spurfowl,true
42-0008165,Feedspan,2017/12/10,true,1107.74,Asian red fox,true
42-0008165,Feedspan,2017/12/10,true,1107.74,Asian red fox,true
42-0008165,Feedspan,2017/12/10,true,1107.74,Asian red fox,true
19-7011558,Flashspan,2017/03/16,false,9446.98,Southern right whale,true
19-7011558,Flashspan,2017/03/16,false,9446.98,Southern right whale,true
19-7011558,Flashspan,2017/03/16,false,9446.98,Southern right whale,true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
21-4862776,Gigazoom,2017/02/24,true,174.48,"Goose, cereopsis",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
56-8718069,Jabbertype,2017/01/14,false,395.59,"Eland, common",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
56-8718069,Jabbertype,2017/01/14,false,395.59,"Eland, common",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
37-3255886,Jabbertype,2017/04/20,true,780.12,"Meerkat, red",true
87-4723009,Jaloo,2017/10/31,true,2844.53,"Kangaroo, brush-tailed rat",true
87-4723009,Jaloo,2017/10/31,true,2844.53,"Kangaroo, brush-tailed rat",true
95-0519541,Jamia,2017/04/10,true,8282.42,Australian brush turkey,true
95-0519541,Jamia,2017/04/10,true,8282.42,Australian brush turkey,true
95-0519541,Jamia,2017/04/10,true,8282.42,Australian brush turkey,true
05-0129891,Jayo,2017/04/18,false,8340.0,Common melba finch,true
05-0129891,Jayo,2017/04/18,false,8340.0,Common melba finch,true
05-0129891,Jayo,2017/04/18,false,8340.0,Common melba finch,true
96-8721358,Jetpulse,2017/12/06,true,5867.39,Savannah deer,true
68-2389566,Jetpulse,2017/01/15,false,9390.78,Western pygmy possum,true
96-8721358,Jetpulse,2017/12/06,true,5867.39,Savannah deer,true
68-2389566,Jetpulse,2017/01/15,false,9390.78,Western pygmy possum,true
96-8721358,Jetpulse,2017/12/06,true,5867.39,Savannah deer,true
68-2389566,Jetpulse,2017/01/15,false,9390.78,Western pygmy possum,true
27-7944423,Leexo,2017/09/18,true,5293.66,"Squirrel, pine",false
48-9064891,Leexo,2017/04/16,false,6715.79,Greylag goose,false
27-7944423,Leexo,2017/09/18,true,5293.66,"Squirrel, pine",false
48-9064891,Leexo,2017/04/16,false,6715.79,Greylag goose,false
27-7944423,Leexo,2017/09/18,true,5293.66,"Squirrel, pine",false
48-9064891,Leexo,2017/04/16,false,6715.79,Greylag goose,false
61-3311193,Linkbridge,2017/05/01,false,8724.08,Desert spiny lizard,false
61-3311193,Linkbridge,2017/05/01,false,8724.08,Desert spiny lizard,false
61-3311193,Linkbridge,2017/05/01,false,8724.08,Desert spiny lizard,false
93-3854302,Linklinks,2017/04/14,false,7987.94,White rhinoceros,false
93-3854302,Linklinks,2017/04/14,false,7987.94,White rhinoceros,false
93-3854302,Linklinks,2017/04/14,false,7987.94,White rhinoceros,false
07-6070581,Meevee,2017/07/07,true,13674.79,Gray duiker,false
07-6070581,Meevee,2017/07/07,true,13674.79,Gray duiker,false
07-6070581,Meevee,2017/07/07,true,13674.79,Gray duiker,false
09-2714683,Midel,2017/01/19,false,7593.54,Gulls (unidentified),false
09-2714683,Midel,2017/01/19,false,7593.54,Gulls (unidentified),false
94-9162746,Mycat,2017/02/15,true,7963.95,Wattled crane,false
94-9162746,Mycat,2017/02/15,true,7963.95,Wattled crane,false
94-9162746,Mycat,2017/02/15,true,7963.95,Wattled crane,false
13-0388689,Mymm,2017/03/10,true,2022.61,"Shrike, southern white-crowned",false
13-0388689,Mymm,2017/03/10,true,2022.61,"Shrike, southern white-crowned",false
13-0388689,Mymm,2017/03/10,true,2022.61,"Shrike, southern white-crowned",false
08-3017869,Mynte,2017/01/22,false,2504.57,Plains zebra,false
08-3017869,Mynte,2017/01/22,false,2504.57,Plains zebra,false
08-3017869,Mynte,2017/01/22,false,2504.57,Plains zebra,false
25-1006281,Npath,2017/02/17,false,13767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,13767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
25-1006281,Npath,2017/02/17,false,3767.77,Red-billed buffalo weaver,false
